x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.498882, 0.225279, 0.148818, 0.00128985, -0.000351885, -0.00143911, 0.00196433, 1001.02, 13771.2
-0.498922, 0.225212, 0.19837, 0.001307, 0.000382658, -0.00276436, 0.00308162, 1000.44, 13234.1
-0.498965, 0.225281, 0.247926, 0.00134089, 0.000417737, -0.00389331, 0.00413888, 1000.73, 12785.5
-0.499042, 0.225207, 0.297589, 0.00140639, 2.78264e-05, -0.00525847, 0.00544336, 1000.57, 12290.5
-0.499108, 0.225263, 0.34737, 0.00129289, -3.34125e-05, -0.0072826, 0.00739655, 1000.61, 11814.5
-0.499223, 0.225251, 0.397295, 0.00116142, -0.000349221, -0.00790138, 0.00799391, 1000.6, 11333.9
-0.4993, 0.225322, 0.447398, 0.00128739, -0.000114481, -0.0101139, 0.0101961, 1000.58, 10848.1
-0.499473, 0.225399, 0.497716, 0.00140371, -0.000256248, -0.0112797, 0.0113696, 1000.56, 10355.6
-0.499564, 0.225492, 0.548293, 0.00133944, -0.000614401, -0.0135662, 0.013646, 1000.57, 9864.87
-0.499815, 0.225641, 0.599162, 0.00171348, -6.21866e-05, -0.0155336, 0.015628, 1000.5, 9361.63
-0.49998, 0.22566, 0.650392, 0.00170405, -0.000266328, -0.0179628, 0.0180454, 1000.62, 8882.09
-0.500318, 0.225799, 0.701974, 0.00154329, -0.000710521, -0.0206847, 0.0207543, 1000.43, 8358.75
-0.500667, 0.225612, 0.754017, 0.000242483, 0.00361093, -0.0225946, 0.0228826, 1000.63, 7875.14
-0.50124, 0.225788, 0.806462, -0.000819966, 0.00484336, -0.0198161, 0.0204159, 1000.05, 7311.58
-0.501994, 0.225139, 0.859763, -0.00663268, 0.0235453, -0.00496976, 0.0249614, 1000.73, 6913.35
-0.50329, 0.22743, 0.91376, 0.00408021, 0.0324275, 0.0240235, 0.0405626, 1000.57, 6311.54
-0.504806, 0.228782, 0.970156, 0.000760683, 0.0212337, 0.0674845, 0.0707503, 999.94, 5735.7
-0.504914, 0.20042, 1.02145, -0.00231251, 0.0716492, 0.153142, 0.16909, 1002.58, 5437.51
-0.478467, 0.219539, 1.03638, -0.0449948, 0.0697989, 0.167326, 0.1868, 998.378, 4863.6
-0.499384, 0.273157, 0.0498058, -0.000515066, -0.00327267, -0.00168684, 0.00371767, 1000.83, 14829
-0.4984, 0.275496, 0.0988717, 0.00273668, 0.00302085, -0.00224668, 0.00465431, 1000.52, 14215
-0.498946, 0.27501, 0.148579, 0.000119709, -0.000719518, -0.00116689, 0.00137611, 1001.02, 13780
-0.498853, 0.275037, 0.198296, 0.00104684, 0.000184661, -0.00191153, 0.00218722, 1000.58, 13249.7
-0.498886, 0.275077, 0.248002, 0.000926797, 0.000183325, -0.00219185, 0.00238679, 1000.88, 12801.1
-0.49894, 0.275034, 0.297795, 0.00108114, -6.40342e-05, -0.00280634, 0.00300807, 1000.67, 12299.3
-0.498985, 0.275068, 0.347671, 0.00104751, 4.02448e-05, -0.00403893, 0.00417275, 1000.76, 11825.7
