Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0.0495,6.16531e-07,-0.0229064,2.49998,1,0.000121217,1.67406e-05,-0.000127758,-1.04288e-05,-0.900479,-0.000847332,0,0,-3.68769,1.43863e-11,4.9231e-08,0
0.05,6.11161e-07,-0.0233585,2.49998,1,0.000167807,1.6556e-05,-0.000129043,-1.08902e-05,-0.907595,-0.000864082,0,0,-3.68769,1.5208e-11,4.9231e-08,0
0.0505,6.05799e-07,-0.023814,2.49998,1,0.00021121,1.63058e-05,-0.000125316,-1.04092e-05,-0.914644,-0.000880061,0,0,-3.68769,1.5488e-11,4.9231e-08,0
0.051,6.00899e-07,-0.0242731,2.49998,1,0.000251334,1.59925e-05,-0.000116755,-9.05256e-06,-0.921627,-0.000895272,0,0,-3.68769,1.52435e-11,4.9231e-08,0
0.0515,5.96883e-07,-0.0247356,2.49998,1,0.000288121,1.56186e-05,-0.00010353,-6.88323e-06,-0.928544,-0.000909727,0,0,-3.68769,1.44898e-11,4.9231e-08,0
0.052,5.94142e-07,-0.0252016,2.49998,1,0.000321536,1.51859e-05,-8.58002e-05,-3.96177e-06,-0.935393,-0.000923443,0,0,-3.68769,1.32423e-11,4.9231e-08,0
0.0525,5.93038e-07,-0.025671,2.49998,1,0.000351514,1.46964e-05,-6.37749e-05,-3.42283e-07,-0.942173,-0.000936405,0,0,-3.68769,1.15208e-11,4.9231e-08,0
0.053,5.939e-07,-0.0261438,2.49998,1,0.000377911,1.41526e-05,-3.77824e-05,3.88384e-06,-0.948884,-0.000948618,0,0,-3.68769,9.35492e-12,4.9231e-08,0
0.0535,5.97013e-07,-0.0266199,2.49997,1,0.000400723,1.3556e-05,-8.01136e-06,8.65053e-06,-0.955527,-0.000960117,0,0,-3.68769,6.7639e-12,4.9231e-08,0
0.054,6.0263e-07,-0.0270993,2.49997,1,0.000419933,1.29081e-05,2.53038e-05,1.38738e-05,-0.962104,-0.000970964,0,0,-3.68769,3.77006e-12,4.9231e-08,0
0.0545,6.10925e-07,-0.027582,2.49997,1,0.000434921,1.22094e-05,6.09022e-05,1.93662e-05,-0.96862,-0.000981116,0,0,-3.68769,4.88504e-13,4.92309e-08,0
0.055,6.22026e-07,-0.0280679,2.49997,1,0.000445315,1.14598e-05,9.80818e-05,2.50555e-05,-0.975065,-0.000990432,0,0,-3.68769,-3.01713e-12,4.92309e-08,0
0.0555,6.35993e-07,-0.028557,2.49997,1,0.000451154,1.06604e-05,0.000136672,3.08217e-05,-0.98144,-0.000998988,0,0,-3.68769,-6.73007e-12,4.92309e-08,0
0.056,6.52855e-07,-0.0290493,2.49997,1,0.000452523,9.81273e-06,0.000176532,3.66325e-05,-0.987745,-0.00100683,0,0,-3.68769,-1.06341e-11,4.92309e-08,0
0.0565,6.72627e-07,-0.0295448,2.49997,1,0.000449516,8.91801e-06,0.000217519,4.24463e-05,-0.99398,-0.00101403,0,0,-3.68769,-1.47146e-11,4.92309e-08,0
0.057,6.95296e-07,-0.0300433,2.49997,1,0.000442236,7.97748e-06,0.000259447,4.82229e-05,-1.00014,-0.00102063,0,0,-3.68769,-1.89515e-11,4.92309e-08,0
0.0575,7.2084e-07,-0.0305449,2.49997,1,0.0004308,6.99237e-06,0.000302168,5.39444e-05,-1.00624,-0.00102666,0,0,-3.68769,-2.33283e-11,4.92309e-08,0
0.058,7.49227e-07,-0.0310495,2.49997,1,0.000415335,5.96388e-06,0.000345551,5.95854e-05,-1.01226,-0.00103218,0,0,-3.68769,-2.78308e-11,4.92308e-08,0
0.0585,7.80408e-07,-0.0315571,2.49997,1,0.000395977,4.89321e-06,0.000389469,6.51228e-05,-1.01821,-0.00103722,0,0,-3.68769,-3.2443e-11,4.92308e-08,0
0.059,8.14329e-07,-0.0320677,2.49997,1,0.000372872,3.78157e-06,0.000433801,7.05358e-05,-1.02408,-0.00104185,0,0,-3.68769,-3.71527e-11,4.92308e-08,0
0.0595,8.5092e-07,-0.0325812,2.49997,1,0.000346174,2.63019e-06,0.000478436,7.58057e-05,-1.02989,-0.0010461,0,0,-3.68769,-4.19456e-11,4.92308e-08,0
0.06,8.90108e-07,-0.0330976,2.49997,1,0.000316043,1.44034e-06,0.000523269,8.09165e-05,-1.03562,-0.00105002,0,0,-3.68769,-4.68097e-11,4.92308e-08,0
0.0605,9.31808e-07,-0.0336168,2.49997,1,0.000282644,2.13312e-07,0.000568207,8.58571e-05,-1.04128,-0.00105366,0,0,-3.68769,-5.17318e-11,4.92307e-08,0
0.061,9.75941e-07,-0.0341389,2.49997,1,0.000246117,-1.05391e-06,0.000612763,9.06533e-05,-1.04688,-0.00105713,0,0,-3.68769,-5.66637e-11,4.92307e-08,0
0.0615,1.02242e-06,-0.0346637,2.49997,1,0.000207231,-2.35953e-06,0.000656184,9.52103e-05,-1.05241,-0.00106058,0,0,-3.68769,-6.15186e-11,4.92307e-08,0
0.062,1.07109e-06,-0.0351913,2.49997,1,0.000166354,-3.70124e-06,0.000698278,9.93667e-05,-1.05786,-0.00106386,0,0,-3.68769,-6.62727e-11,4.92307e-08,0
0.0625,1.1217e-06,-0.0357215,2.49997,1,0.000124304,-5.0792e-06,0.000738217,0.000102985,-1.06322,-0.00106703,0,0,-3.68769,-7.08322e-11,4.92306e-08,0
0.063,1.17402e-06,-0.0362545,2.49997,1,8.15048e-05,-6.49175e-06,0.000775743,0.000106248,-1.06851,-0.00107029,0,0,-3.68769,-7.51652e-11,4.92306e-08,0
0.0635,1.22788e-06,-0.03679,2.49996,1,3.82986e-05,-7.93616e-06,0.000810791,0.000109133,-1.07373,-0.00107367,0,0,-3.68769,-7.92606e-11,4.92306e-08,0
0.064,1.28309e-06,-0.0373282,2.49996,1,-5.16772e-06,-9.41093e-06,0.000843368,0.000111644,-1.07887,-0.00107719,0,0,-3.68769,-8.31162e-11,4.92306e-08,0
0.0645,1.33946e-06,-0.0378689,2.49996,1,-4.8764e-05,-1.09147e-05,0.000873492,0.000113801,-1.08394,-0.00108087,0,0,-3.68769,-8.67322e-11,4.92305e-08,0
0.065,1.39683e-06,-0.0384121,2.49996,1,-9.2368e-05,-1.24463e-05,0.000901185,0.000115626,-1.08893,-0.00108471,0,0,-3.68769,-9.01093e-11,4.92305e-08,0
0.0655,1.45504e-06,-0.0389578,2.49996,1,-0.000135865,-1.40045e-05,0.000926473,0.000117139,-1.09385,-0.00108872,0,0,-3.68769,-9.32477e-11,4.92305e-08,0
0.066,1.51392e-06,-0.0395059,2.49996,1,-0.000179145,-1.55881e-05,0.000949388,0.000118364,-1.09869,-0.00109291,0,0,-3.68769,-9.61493e-11,4.92304e-08,0
0.0665,1.57336e-06,-0.0400565,2.49996,1,-0.000222107,-1.71962e-05,0.000969961,0.00011932,-1.10346,-0.00109729,0,0,-3.68769,-9.8816e-11,4.92304e-08,0
0.067,1.6332e-06,-0.0406094,2.49996,0.999999,-0.000264653,-1.88277e-05,0.000988229,0.00012003,-1.10815,-0.00110187,0,0,-3.68769,-1.01249e-10,4.92304e-08,0
0.0675,1.69333e-06,-0.0411646,2.49996,0.999999,-0.000306519,-2.04812e-05,0.00100422,0.000120384,-1.11276,-0.00110665,0,0,-3.68769,-1.03448e-10,4.92304e-08,0
0.068,1.75355e-06,-0.0417221,2.49996,0.999999,-0.000347072,-2.21539e-05,0.00101796,0.000120468,-1.11729,-0.00111167,0,0,-3.68769,-1.05405e-10,4.92303e-08,0
0.0685,1.81376e-06,-0.0422819,2.49996,0.999999,-0.000386147,-2.38448e-05,0.00102948,0.000120343,-1.12175,-0.00111694,0,0,-3.68769,-1.07123e-10,4.92303e-08,0
